seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,123,104,16,3,0,3,0,0,126,67,59,53.17460317460318,67,0,59,2860229,1.9380410847670126,1247360,30.36720567710158,23253.89430894309,2819891,43361,98.4856030834869,0.38849936538461477,65.34615384615384,1.9807692307692308,2.2787794285714282
1001,1960,BluesRock,Rock,1966,,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358766181318682,0,0,0
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403656593406568,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.85,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,39,20,16,3,0,3,0,0,39,8,31,20.512820512820515,8,0,31,1011280,0.6852256194183,316753,23.851289839936207,25930.25641025641,992693,19388,98.08434305159369,0.42737678846153865,22.5,0.8076923076923077,0.6636114890109885
1001,1960,Classical,Classical,1945,,0.15,0.4,133,109,21,3,0,3,0,0,134,0,134,0,0,12,122,2470742,1.6741315138960615,1144854,31.66432311574634,18577.007518796992,2085373,388621,84.29175656852846,0.509375142857145,105.51923076923077,8.26923076923077,2.5135440824175834
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,45,24,18,3,0,3,0,0,43,2,41,4.651162790697675,2,0,41,679826,0.4606381931281793,429388,38.71101518733085,15107.244444444445,651156,29530,95.66172949054337,0.5259247994505488,26.78846153846154,0.4230769230769231,0.8072914450549449
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.48,312,222,87,3,0,3,0,0,318,297,21,93.39622641509433,297,0,21,12209780,8.273133121846739,159262,1.2875855704912313,39133.91025641026,12203722,15429,99.87373099816837,0.6799203791208792,140.03846153846155,7.846153846153846,8.623135975274728
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,282,166,113,3,0,3,0,0,284,276,8,97.1830985915493,276,0,8,8845358,5.993459689232076,3983476,31.050959112885863,31366.517730496453,8851016,1010,99.98859018263164,0.8545870576923081,96.11538461538461,5.961538461538462,7.595588769230779
1001,1960,EasyListening,Pop,1950,,0.35,0.65,267,201,63,3,0,3,0,0,267,43,224,16.10486891385768,43,0,224,9451734,6.404329448547391,3498459,27.014724799854335,35399.752808988764,8702681,754740,92.01960026946035,0.7750511456043949,183.90384615384616,22.53846153846154,7.127605140109885
1001,1960,Folk,Folk,1958,1966,0.5,0.4,233,153,77,3,0,3,0,0,234,70,164,29.914529914529915,70,0,164,9021053,6.112507544626921,3054126,25.292594006266906,38716.96566523605,8729709,297848,96.70067992924332,0.5529439780219783,157.69230769230768,11.557692307692308,5.367967543956045
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02484467307692302,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
