seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,15,11,1,3,15,9,6,60,9,0,6,127934,0.08690207655369625,120845,48.57524147938532,8528.933333333332,126287,1930,98.49473938713275,0.29999999999999816,5.653846153846154,0,0.20756075824175835
1001,1960,BluesRock,Rock,1966,,0.45,0.02,39,39,0,0,41,38,3,92.6829268292683,38,0,3,344679,0.2341310429162808,125061,26.623451270915826,8837.923076923076,345692,0,100,0.03577357967032971,14.153846153846153,0,0.6240306043956038
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403656593406568,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.65,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,22,18,1,3,21,10,11,47.61904761904762,10,0,11,289988,0.1969809384186633,234300,44.689178466796875,13181.272727272728,287162,3277,98.8717080006473,0.35750364285714364,12.25,0.1346153846153846,0.34690171978021966
1001,1960,Classical,Classical,1945,,0.15,0.3,12,6,3,3,12,4,8,33.333333333333336,4,0,8,100477,0.06825128539626478,55328,35.5110554860242,8373.083333333334,99207,1568,98.44405854626643,0.29999999999999816,7.3076923076923075,0.038461538461538464,0.17163814010989
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,24,14,7,3,24,5,19,20.833333333333332,5,0,19,281153,0.19097956391030815,185997,39.81526276356631,11714.708333333334,277263,4498,98.40361157150919,0.44707540384615463,15.134615384615385,0.07692307692307693,0.3921117582417583
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.65,258,240,15,3,261,228,33,87.35632183908046,228,0,33,8609315,5.848072843848277,153459,1.751260502667306,33369.43798449612,8592326,24257,99.71848469399065,0.8213246236263748,119.46153846153847,5.230769230769231,7.3513220741758225
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,563,526,34,3,572,529,43,92.48251748251748,529,0,43,17979045,12.212674855412555,9394802,34.32035694507973,31934.360568383658,17988404,5693,99.9683618466656,0.8545870576923081,219.53846153846155,13.192307692307692,16.589334120879116
1001,1960,EasyListening,Pop,1950,,0.35,0.8,31,18,10,3,31,10,21,32.25806451612903,10,0,21,852030,0.5787607382403882,367632,30.14212134181437,27484.83870967742,806765,45782,94.62997347946799,0.8595716428571417,18.25,1.2307692307692308,0.8165501456043952
1001,1960,Folk,Folk,1958,1966,0.5,0.4,149,141,5,3,152,38,114,25,38,0,114,4062491,2.759539324031939,2454418,37.6623027880242,27265.040268456374,3898171,168911,95.84687498309599,0.5529439780219783,108.59615384615384,3.75,3.489900439560438
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02359790384615384,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
1001,1960,Gospel,Gospel,1950,,0.5,0.35,275,258,14,3,280,158,122,56.42857142857143,158,0,122,4305801,2.924813170282973,3171331,42.41373564088477,15657.458181818181,4252777,60343,98.60094316875023,0.452213428571429,149.82692307692307,2.1346153846153846,5.281551123626378
1001,1960,HardRock,Rock,1967,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,Jazz,Jazz,1945,,0.3,0.5,173,160,10,3,177,32,145,18.07909604519774,32,0,145,9086936,6.172507761115407,1771633,16.315529237784464,52525.64161849711,8574993,517345,94.31009933858596,0.6334721016483518,141.57692307692307,19.03846153846154,4.9391589862637355
1001,1960,LatinPop,Latin,1958,,0.6,0.2,16,10,3,3,16,9,7,56.25,9,0,7,106822,0.07256127082416669,42769,28.590623767472643,6676.375,105355,1741,98.37435571823411,0.21267080219780188,7.75,0.019230769230769232,0.1889086346153847
1001,1960,ProgressiveRock,Rock,1968,,0.25,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999999908,0,0,0
1001,1960,ProtoMetal,Rock,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999999908,0,0,0
1001,1960,ProtoPunk,Rock,1967,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999999908,0,0,0
1001,1960,PsychedelicRock,Rock,1966,1971,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Reggae,Caribbean,1968,,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999999908,0,0,0
1001,1960,RnB,RhythmAndSoul,1949,1965,0.8,0.4,559,533,23,3,568,523,45,92.0774647887324,523,0,45,16740770,11.37154842424861,6745807,28.721967445490247,29947.710196779964,16747146,8581,99.94878765928807,0.5076700769230769,213.25,10.98076923076923,11.9104304587912
1001,1960,RockAndRoll,Rock,1955,,0.85,0.6,633,612,18,3,649,617,32,95.0693374422188,617,0,32,17606193,11.959406662069123,8834446,33.412377060932606,27813.890995260663,17613881,10864,99.93835939186638,0.7634025549450557,249.3846153846154,11.038461538461538,16.49658339560438
1001,1960,Rocksteady,Caribbean,1966,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009999999999999908,0,0,0
1001,1960,SingerSongwriter,Folk,1967,,0.35,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027602442307692324,0,0,0
1001,1960,Ska,Caribbean,1964,1967,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,Soul,RhythmAndSoul,1961,,0.7,0.2,658,658,0,0,677,331,346,48.89217134416543,331,0,346,13594455,9.234342466551338,6855946,33.524750932756774,20660.26595744681,13590305,24161,99.82253435426699,0.34472043956043963,377.21153846153845,7.8076923076923075,12.164422428571429
1001,1960,SunshinePop,Pop,1965,1971,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027602442307692324,0,0,0
1001,1960,SurfRock,Rock,1961,1966,0.8,0.05,86,86,0,0,90,89,1,98.88888888888889,89,0,1,686850,0.46655846984309307,477072,40.98831364988376,7986.627906976744,688859,0,100,0.19951761813186814,29.173076923076923,0.07692307692307693,1.203927928571429
