seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,70,52,15,3,0,3,0,0,68,45,23,66.17647058823529,45,0,23,789183,0.5289116173871202,728071,47.986098570180076,11274.042857142857,772127,18522,97.6573675550086,0.3380157499999999,30.076923076923077,0.11538461538461539,1.1181981950549467
1001,1960,BluesRock,Rock,1966,,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035093791208791254,0,0,0
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403656593406568,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.65,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,29,11,15,3,0,3,0,0,29,9,20,31.03448275862069,9,0,20,544395,0.3648543366335328,262981,32.57230831731436,18772.241379310344,541595,3276,99.39875676995105,0.41267092857142834,14.134615384615385,0.4807692307692308,0.4276729395604393
1001,1960,Classical,Classical,1945,,0.15,0.3,70,58,9,3,0,3,0,0,70,32,38,45.714285714285715,32,0,38,954488,0.6396992736242387,612615,39.09219751350103,13635.542857142857,947692,8082,99.15440260982199,0.33218986813186785,34.25,0.38461538461538464,1.1322381813186824
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,51,28,20,3,0,3,0,0,51,17,34,33.333333333333336,17,0,34,1253956,0.8404031714979716,498090,28.429048095769176,24587.37254901961,1249837,4970,99.60392315312235,0.5104935879120872,23.98076923076923,0.7692307692307693,0.9823693681318674
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.65,360,297,60,3,0,3,0,0,365,325,40,89.04109589041096,325,0,40,15637876,10.480527694665533,257352,1.6190519569772766,43438.544444444444,15605928,43001,99.7252144220221,0.8213246236263748,172.44230769230768,10.711538461538462,11.234598219780215
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,312,203,106,3,0,3,0,0,313,296,17,94.56869009584665,296,0,17,7634608,5.1167256078712375,4954954,39.35763611156607,24469.897435897437,7640801,1863,99.97562368305083,0.8545870576923081,114.65384615384616,4.384615384615385,8.498393884615389
1001,1960,EasyListening,Pop,1950,,0.35,0.8,221,159,59,3,0,3,0,0,220,54,166,24.545454545454547,54,0,166,8003551,5.363991753814139,3444377,30.08733982254256,36215.1628959276,7668368,339539,95.7599532562004,0.908920945054944,134.3846153846154,12.5,6.7520724285714255
1001,1960,Folk,Folk,1958,1966,0.5,0.4,168,114,51,3,0,3,0,0,169,58,111,34.319526627218934,58,0,111,5040947,3.3784501578629436,2408990,32.33570968452485,30005.636904761905,4910067,135663,97.31133057060129,0.5529439780219783,112.0576923076923,4.980769230769231,3.7654330054945055
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02488105769230758,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
